13B,5,OH,3
13B,23,MA,2
23D,20,ND,1
290,24,NM,1
13B,21,SC,4
23H,8,WA,1
13C,4,OK,1
13C,18,WI,2
13C,9,MI,10
23D,8,TN,1
13C,18,TX,9
13B,1,TX,5
290,24,WI,2
290,4,AL,2
13C,9,OH,7
13C,12,OH,9
13B,25,SC,1
13C,16,WA,1
13B,20,RI,2
35A,13,CT,4
13A,25,NC,3
13A,5,NV,2
220,4,RI,2
240,18,CT,4
13C,7,ME,2
26B,23,MI,1
13A,52,NC,1
13C,7,ND,1
23D,53,SC,1
120,50,WI,1
13B,13,CA,366
290,5,KY,2
23F,18,MA,9
290,13,ME,8
200,4,MO,1
13C,23,NC,5
23F,18,ND,5
13C,17,NJ,5
13C,9,NV,1
13C,50,UT,1
13B,18,WA,18
13C,21,KS,3
26A,25,MI,2
13B,5,MO,1
11A,20,PA,1
280,13,SC,1
09A,20,UT,1
13C,9,CO,6
13C,12,MN,1
13B,10,SC,1
13C,52,MA,7
23H,52,MI,1
290,9,OR,1
13A,15,WI,2
13C,25,CT,11
13A,22,CT,3
13B,18,MS,2
13B,20,OH,77
13B,13,WA,92
290,3,FL,1
13C,23,IN,4
13C,21,IN,3
13B,50,MN,8
13A,25,MN,1
290,12,OH,2
23H,13,MI,2
26C,7,WA,1
200,16,CA,1
23H,4,CA,2
13B,48,MA,1
13A,17,NV,1
220,4,UT,5
23G,5,KS,1
290,5,AR,1
220,24,CA,3
23H,8,KY,3
290,53,MN,11
13A,3,MT,2
13C,8,NJ,6
13A,20,AL,5
13C,21,AL,3
23F,53,SC,1
13B,55,UT,1
26C,23,OH,1
13C,21,OK,1
13B,14,NC,2
13B,1,NM,1
13B,38,CA,1
13B,3,DC,1
290,2,FL,1
13C,2,WA,1
